AO,BE
Sportivo Barracas,Sportivo Barracas
Tochigi SC,Tochigi
Tokushima Vortis,Tokushima
Troyes,Troyes
UD Alzira,Alzira
Universidad de Concepcion,U. De Concepcion
Ventforet Kofu,Kofu
Villa Mitre,Villa Mitre
Vitoria BA,Vitoria
Wigry Suwalki,Suwalki
Yenisey Krasnoyarsk,Yenisey
Zaglebie Lubin U18,Zaglebie U18
AS Beziers,Beziers
Bradford City,Bradford City
Burton Albion,Burton
CD Ebro,Ebro
CD Guijuelo,Guijuelo
CD Hualgayoc,Hualgayoc
Caernarfon Town FC,Caernarfon
Chateauroux,Chateauroux
Chikhura Sachkhere,Chikhura
Club Leon,Club Leon
Conwy Borough,Conwy Borough
Coquimbo Unido,Coquimbo
Coventry City,Coventry
Dacia Unirea Braila,Braila
Den Bosch,Den Bosch
Deportes Valdivia,Valdivia
Deportivo Guastatoya,Guastatoya
Ehime FC,Ehime
FC Asco,Asco
FC Gorodeya,Gorodeja
FC Krasnodar 2,Krasnodar 2
FC Smolevichi,Smolevichi STI
FK Atlantas,Atlantas
FK Jelgava,Jelgava
Fleetwood Town,Fleetwood Town
Grimsby Town,Grimsby
HIFK Helsinki II,HIFK 2
Hapoel Nazareth Illit,H. Nazareth
Holywell Town,Holywell
IA Akranes,Akranes
JS Saoura,Saoura
KFCO Beerschot Wilrijk,Beerschot Wilrijk
KSV Roeselare,KSV Roeselare
Kauno Zalgiris,Kauno Zalgiris
Korona Kielce,Korona Kielce
Le Mans UC 72,Le Mans
Lech Poznan,Lech Poznan
Lommel SK,Lommel SK
Mallorca,Mallorca
Morvant Caledonia United,Morvant Caledonia Utd
Neman Grodno,Neman
Novelda CF,Novelda CF
Oud Heverlee Leuven,Leuven
Patriotas Boyaca,Patriotas
Piast Gliwice,Piast Gliwice
Qingdao Jonoon,Qingdao Jonoon
RKS Garbarnia Krakow,Garbarnia
Ramtha SC,Al Ramtha
Rodez AF,Rodez
Rosario Central,Rosario Central
SV Leobendorf,Leobendorf
Sacachispas,Sacachispas
Santa Gema,Santa Gema
Shanghai Shenxin,Shanghai Shenxin
Sparta Rotterdam,Sparta Rotterdam
Sport Victoria,Sport Victoria
Sporting Gijon B,Gijon B
Sportivo Belgrano,Sportivo Belgrano
Sportivo Las Parejas,Sportivo Las Parejas
TOP Oss,Oss
Tianjin Quanjian,Tianjin Quanjian
Tromso,Tromso
Union Deportivo Universitario,Deportivo Universitario
Wisla Sandomierz,Sandomierz
Xerez CD,Xerez CD
Yinchuan Helanshan,Yinchuan Helanshan
Yunnan Feihu,Yunnan Feihu F.C.
Zaglebie Sosnowiec,Zaglebie Sosnowiec
Zhejiang Greentown,Zhejiang Greentown
AEL Limassol,AEL Limassol
Ajaccio,AC Ajaccio
Al Shabab Riyadh,Al-Shabab
Anorthosis Famagusta,Anorthosis
Beijing BG,Beijing EG
CA Fenix Buenos Aires (N),Fenix
Cambridge United,Cambridge Utd
Chamois Niortais,Niort
Dinamo Bucuresti,Din. Bucuresti
Dnepr Smolensk,Dnepr Smolensk
Elana Torun,Elana Torun
Exeter City,Exeter
FC Rotor,R. Volgograd
Forest Green Rovers,Forest Green
GKS Tychy,Tychy
Hammarby,Hammarby
Hoang Anh Gia Lai,Gia Lai
JJ Urquiza,Justo Jose de Urquiza
Jong AZ Alkmaar,Jong AZ
Limerick FC,Limerick
Metallurg Lipetsk,Lipetsk
Middelfart,Middelfart
Nogoom El Mostakbal,Nogoom FC
Northampton Town,Northampton
Paris Saint-Germain FC II,Paris SG II
RKC Waalwijk,Waalwijk
Real Union,R. Union
Red Star Saint-Ouen,Red Star
SK Prevysov,Prevysov
San Lorenzo,San Lorenzo
Strasbourg,Strasbourg
Trelleborgs,Trelleborgs
UB Conquense,Conquense
UE Llagostera,Llagostera Costa Brava
UE Olot,Olot
Vaajakoski,Vaajakoski
VfB Stuttgart,Stuttgart
Villaverde San Andres,SR Villaverde Boetticher
Volendam,FC Volendam
AD San Carlos,San Carlos
AO,BE
AS Nancy Lorraine,Nancy
Acassuso,Acassuso
Agropecuario Argentino,Agropecuario
Al Ansar Medina,Al Ansar
Al Arabi Doha,Al Arabi
Al Ettifaq Dammam,Al-Ettifaq
Al Feiha,Al Feiha
Al Gharafa,Al-Gharafa
Al Hazm Rass,Al-Hazem
Al Khaleej Saihat,Al Khaleej
Al Kharitiyath SC,Al-Kharitiyath
Al Nahdha Dammam,Al-Nahda
Al Qaisoma,Al Qaisoma
Al Raed,Al-Raed
Al Taawon Buraidah,Al-Taawon
Al Wasl Dubai,Al Wasl
Ararat Yerevan,Ararat Yerevan
Arsenal Tula,Arsenal Tula
Ascoli,Ascoli
Atlanta United II,Atlanta United 2
Atletico Madrid,Atl. Madrid
Atletico Parana,Atletico Parana
Atletico Venezuela (N),Atl. Venezuela
Ayacucho FC,Ayacucho
BFC Siofok,Siofok
Belenenses,Belenenses
Bidvest Wits,Bidvest Wits
Bloemfontein Celtic,Bloem Celtic
Bnei Yehuda Tel Aviv,Yehuda
Boca Unidos,Boca Unidos
Borussia Monchengladbach,B. Monchengladbach
Brentford,Brentford
Brest,Brest
Budafoki MTE,Budafoki
CA Central Cordoba,Central Cordoba
CA Colegiales,Colegiales
CA Los Andes,Los Andes
CD Aves,Aves
CD Ciudad de Lucena,Ciudad de Lucena
CD El Palo,El Palo
CD Malacateco,Malacateco
CD Tondela,Tondela
CS Herediano,Herediano
CS Sportul Snagov,Sportul Snagov
CS Universitatea Craiova,U Craiova 1948 CS
CSD Comunicaciones,Comunicaciones
Cape Town City,Cape Town City
Caracas,Caracas
Carl Zeiss Jena,Jena
Cegledi VSE,Cegledi
Central FC,Central FC
Centro Juventud Antoniana,Antoniana
Chacarita Juniors,Chacarita Juniors
Chinandega,Chinandega
Clermont,Clermont
Club Atletico Saguntino,Saguntino
Club Sando FC,Sando
Colorado Springs Switchbacks,Colorado Springs
Consadole Sapporo,Sapporo
Crewe Alexandra,Crewe
Criciuma SC,Criciuma
DRB Tadjenanet,Tadjenant
Daco-Getica Bucuresti,Daco-Getica Bucuresti
Darmstadt 98,Darmstadt
Defensores Belgrano VR,Defensores Belgrano VR
Degerfors,Degerfors
Deportivo Binacional,Binacional
Deportivo Camioneros,Camioneros Buenos Aires
Deportivo Chiantla,Deportivo Chiantla
Dibba Al Fujairah,Dibba Al Fujairah
Dukla Praha U19,Dukla Prague U19
ENPPI,Enppi
East Riffa,East Riffa
Eastleigh,Eastleigh
Ebbsfleet United,Ebbsfleet
Energie Cottbus,Energie Cottbus
Esteghlal,Esteghlal F.C.
Estudiantes Caseros,CA Estudiantes
Estudiantes De Merida,Estudiantes Merida
FBC Melgar Arequipa,FBC Melgar
FC Heidenheim 1846,Heidenheim
FK Jonava,Jonava
FK Nevezis Kedainiai,Nevezis Kedainiai
FK Partizani Tirana,Partizani
FK Poprad,Poprad
FK Slavoj Trebisov,Trebisov
FK Slavoj Vysehrad,Vysehrad
FK Usti Nad Labem,Usti nad Labem
FK Zvijezda 09,Zvijezda Brgule
Fiorentina,Fiorentina
Flora Tallinn U21,Flora U21
GFC Ajaccio,GFC Ajaccio
Gandzasar Kapan,Gandzasar
Gimnasia Concepcion,Gimnasia E.R.
Gleisdorf 09,Gleisdorf
Godoy Cruz Antonio Tomba,Godoy Cruz
Gorodeya,Gorodeja
Grenoble,Grenoble
Grenoble Foot 38,Grenoble
HB Koge,Koge
Halmstads,Halmstad
Hamburger SV,Hamburger SV
Hapoel Petah Tikva,Hapoel Petah Tikva
Hapoel Ramat Gan Givatayim,Hap. Ramat Gan
Hapoel Tel Aviv,Hapoel Tel Aviv
Harrogate Town,Harrogate
Henan Jianye,Henan Jianye
Highlands Park,Highlands
IFK Goteborg,Goteborg
Indy Eleven,Indy Eleven
Ingolstadt 04,Ingolstadt
Inter Turku,Inter Turku
Ipswich Town,Ipswich
JK Nomme Kalju,Kalju
JS Kabylie,JS Kabylie
Jagiellonia Bialystok U18,Jagiellonia U18
Juventus,Juventus
KS Skenderbeu Korce,Skenderbeu
KV Mechelen,KV Mechelen
Kalmar,Kalmar
Karlsruher SC,Karlsruher
Kazma SC,Kazma SC
Kongsvinger,Kongsvinger
LD Alajuelense,Alajuelense
Las Vegas Lights,Las Vegas Lights
Le Havre,Le Havre
Leganes,Leganes
Liaoning Whowin,Liaoning
Lillestrom B,Lillestrom 2
Lokomotiv Gorna Oryahovitsa,Lok. Gorna
Lokomotiv Kosice,Lok. Kosice
Luceafarul Oradea,Luceafarul Oradea
MFK Vitkovice,Vitkovice
Maccabi Ahi Nazareth,M. Nazareth
Maidstone United,Maidstone
Milton Keynes Dons,Milton Keynes Dons
Misr Lel Makasa,Misr Elmaqasah
Mjondalen IF,Mjondalen
Montedio Yamagata,Montedio Yamagata
Mosonmagyarovari TE,Mosonmagyarovari TE
NAC Breda,Breda
NFA Kaunas,NFA Kaunas
NK Aluminij,Aluminij
NK Celje,Celje
NK Sesvete,Sesvete
Nam Dinh,Nam Dinh
Nantes,Nantes
NorthEast United,North East Utd
Nosta Novotroitsk,Nosta
OGC Nice,Nice
Olimpia Grudziadz,Ol. Grudziadz
Olivenza FC,Olivenza
Ottawa Fury,Ottawa Fury
PSIS Semarang,PSIS Semarang
Paradou AC,Paradou
Paris FC,Paris FC
Penn,Penn
Perez Zeledon,Zeledon
Persija Jakarta,Persija Jakarta
Perugia,Perugia
Petrojet,Petrojet
Polokwane City,Polokwane
Portuguesa,Portuguesa
Puszcza Niepolomice,Puszcza
Pyramids,Pyramids
Qatar SC,Qatar SC
RCD Espanyol,Espanyol
Racing De Cordoba,Racing Cordoba
Real Garcilaso,Garcilaso
Real Madrid,Real Madrid
Riga FC,Riga FC
Ripensia Timisoara,Ripensia Timisoara
SD Huesca,Huesca
Sai Gon,Sai Gon FC
Saint Louis,Saint Louis FC
Sakhalin Yuzhno Sakhalinsk,Sakhalin
Salford City,Salford
San Martin De Burzaco,San Martin Burzaco
Schaffhausen,Schaffhausen
Sioni Bolnisi (N),Bolnisi
Smouha SC,Smouha
Spal 2013,Spal
Spartak Moscow U21,Spartak Moscow U21
Spartak Vladikavkaz,Vladikavkaz
Sportfreunde Lotte,Lotte
Sporting Cristal,Sporting Cristal
TP Ho Chi Minh,Ho Chi Minh
TUS Bad Gleichenberg,Bad Gleichenberg
Tarup Paarup,Tarup-Paarup
Than Quang Ninh,Than Quang Ninh
Tigres,Tigres
Torino,Torino
Torpedo Minsk (N),Torpedo Minsk
Toulouse,Toulouse
Triestina,Triestina
Tulsa Roughnecks,Tulsa Roughnecks
UCD Burlades,Burlades
UNAN Managua,UNAN-Managua
USM Bel Abbes,Bel Abbes
UTC Cajamarca,Cajamarca
Union Berlin,Union Berlin
Universidad San Martin,U. San Martin
Utrecht,Utrecht
Valenciennes,Valenciennes
Vasco Da Gama RJ,Vasco
VfL Wolfsburg,Wolfsburg
VfR Aalen,Aalen
Viborg FF,Viborg
Vysocina Jihlava,Jihlava
W Connection FC,W Connection
Wacker Innsbruck II,Wacker Innsbruck (Am)
Werder Bremen,Werder Bremen
Wiener Sk,Wiener Sportklub
Wil 1900,Wil
Yeovil Town,Yeovil
Zoo Kericho,Zoo Kericho
AB Gladsaxe,AB Copenhagen
AD Alcorcon B,Alcorcon B
AFC Fylde,AFC Fylde
Al Shabab Manama (N),Al-Shabbab
Al Washm,Al-Washm
Alcorcon,Alcorcon
Almere City FC,Almere City
Arminia Bielefeld,Arminia Bielefeld
Avangard Kursk,Kursk
BK Marienlyst,Marienlyst
Barcelona SC,Barcelona SC
Barnsley,Barnsley
Beijing Renhe,Beijing Renhe
Bekescsaba 1912 Elore SE,Bekescsaba 1912
Blooming Santa Cruz,Blooming
Bogota FC,Bogota
Brasil De Pelotas RS,Brasil de Pelotas
Bursaspor,Bursaspor
CA Acassuso (N),Acassuso
CA Bordj Bou Arreridj,Bordj Bou Arreridj
CA Estudiantes De Caseros,CA Estudiantes
CA Excursionistas,Excursionistas
CA Juventud Unida Universitario,Juventud Unida Universitario
CD Don Benito,Don Benito
CF Motril,Motril
CR Belouizdad,CR Belouizdad
CS Emelec,Emelec
Carpi FC 1909,Carpi
Ceara CE,Ceara
Centro Deportivo Municipal (N),Dep. Municipal
Deportivo Siquinala,Siquinala
Derby County,Derby
Druzhba Maykop,Maykop
Dynamo Dresden,SG Dynamo Dresden
Envigado,Envigado
Esteghlal Khuzestan,Esteghlal Khuzestan
FC Politehnica Iasi,Poli Iasi
FC Ufa U21,Ufa U21
Ferro Carril Oeste,Ferro
Flamengo,Flamengo RJ
Flandria,Flandria
Fortuna Dusseldorf,Dusseldorf
Free State Stars,Free State Stars
Gateshead,Gateshead
Gaz Metan Medias,Gaz Metan Medias
Gillingham,Gillingham
Gornik Zabrze,Gornik Z.
Haras El Hedoud,Haras El Hodood
Hartlepool United,Hartlepool
Hellerup IK,Hellerup
IFK Uddevalla,Uddevalla
Isidro Metapan,Metapan
Jiskra Usti Nad Orlici,Usti nad Orlici
Jong PSV Eindhoven,Jong PSV
KV Oostende,Oostende
Las Palmas Atletico,Las Palmas B
Levadia Tallinn II,Levadia U21
Levante,Levante
Llaneros De Guanare,Llaneros de Guanare
Lobos UPNFM,UPNFM
Los Angeles,Los Angeles FC
Molde,Molde
NK Krsko,Krsko
NK Lokomotiva,Lok. Zagreb
New York City,New York City
Nordsjaelland,Nordsjaelland
North Carolina Courage (W),North Carolina Courage W
North Carolina Courage (W) (N),North Carolina Courage W
North East Stars FC,North East Stars
Oklahoma City Energy FC,Oklahoma City Energy
Orebro SK,Orebro
Orenburg U21,FK Orenburg U21
Ostersunds FK,Ostersunds
Peterborough United,Peterborough
Pobla de Mafumet,Pobla Mafumet
RC Lens,Lens
RCD Espanyol B,Espanyol B
Roda JC,Roda
SHB Da Nang,Da Nang
Saburtalo Tbilisi,Saburtalo Tbilisi
Sacramento Republic,Sacramento Republic
Sacramento Republic FC,Sacramento Republic
San Lorenzo de Alem,San Lorenzo Alem
San Martin Tucuman,San Martin T.
Santos SP (N),Santos
Sassuolo,Sassuolo
Sepidrood Rasht,Sepidrood Rasht
Slovan Liberec,Liberec
Sonderjyske,Sonderjyske
Sportivo Luqueno,Sp. Luqueno
Sportivo Luqueno (N),Sp. Luqueno
St Anns Rangers,S.A. Rangers
St. Gallen,St. Gallen
Sunderland,Sunderland
Talleres Remedios,Talleres (R.E)
Tiburones Rojos De Veracruz,Veracruz
Tigres UANL,U.A.N.L.- Tigres
Toronto FC,Toronto FC
UAI Urquiza,UAI Urquiza
US Concarneau,Concarneau
Viitorul Constanta,FC Viitorul
Villefranche,Villefranche
Vlasim,Vlasim
XSKT Can Tho,Can Tho
Zrinjski Mostar,Zrinjski
3 De Febrero,3 de Febrero
AC Milan,AC Milan
AD Alcorcon,Alcorcon
AD Cantolao,AD Cantolao
AD Chalatenango,Chalatenango
AD Isidro Metapan,Metapan
AD Oliveirense,AD Oliveirense
AD San Juan,AD San Juan
AD Siete Villas,Siete Villas
AFC Hermannstadt,FC Hermannstadt
AFC Leopards (N),Leopards
AGF Aarhus,Aarhus
AGMK,AGMK
ART Municipal Jalapa,Jalapa
AS Giana Erminio,Giana Erminio
ASC Daco-Getica Bucuresti,Daco-Getica Bucuresti
ASDC Gozzano (N),Gozzano
AZ Alkmaar,AZ Alkmaar
AZS PWSZ Walbrzych (W),AZS PWSZ Walbrzych W
Aberdeen,Aberdeen
Ahli Al Khalil,Ahli Al-Khalil
Ajax (W),Ajax W
Akhmat Grozny U21,Akhmat Grozny U21
Aktobe,Aktobe
Al Adalh,Al Adalh
Al Ahli (JOR),Al Ahli
Al Ahli (Jordan),Al Ahli
Al Ahli Amman,Al Ahli
Al Ahli Doha (N),Al Ahli Doha
Al Aqaba,Aqaba
Al Arabi Kuwait,Al Arabi
Al Hussein SC,Al Hussein
Al Jabalain Hail,Al Jabalain
Al Jahra,Al Jahra
Al Jeel,Al Jeel
Al Kharaitiyat,Al-Kharitiyath
Al Nahda Al Buraimi,Al Nahda
Al Najoom,Al Najoom
Al Orubah Sakakah,Al Orubah
Al Ramtha,Al Ramtha
Al Riffa SC,Al Riffa
Al Rustaq SC,Al-Rustaq
Al Sadd (N),Al-Sadd
Al Sailiya (N),Al Sailiya
Al Salt,Al Salt
Al Shahaniya (N),Al-Shahaniya
Al Tadamon Farwaniya,Al Tadamon
Al Wehda Club Mecca,Al Wehda
Alanyaspor,Alanyaspor
Albacete,Albacete
Albacete Balompie,Albacete
AlbinoLeffe,AlbinoLeffe
Albissola,Albissola
Alcobendas Sport,Alcobendas
Aldershot Town,Aldershot
Alebrijes De Oaxaca,Alebrijes Oaxaca
Alianza FC,Alianza FC
Alianza FC Panama,Alianza
Allerheiligen,Allerheiligen
Alondras CF,Alondras
AmaZulu,Amazulu
America De Cali,America De Cali
America de Cali,America De Cali
Anadia,Anadia
Angelholms FF,Angelholms
Angostura,Angostura
Antofagasta,Antofagasta
Apollon Smyrnis,Smyrnis
Aprilia,Aprilia
Aragua Maracay,Aragua
Arandina CF,Arandina
Arcos CF,Arcos CF
Arenas Club de Getxo,Arenas Club
Argentino De Merlo,Argentino de Merlo
Argentino de Quilmes,Argentino de Quilmes
Aris Limassol,Aris
Arna Bjornar (W),Arna-Bjornar W
Arosa SC,Arosa SC
Arouca,Arouca
Arsenal,Arsenal
Arsenal de Sarandi,Arsenal Sarandi
Asker,Asker
Assyriska FF,Assyriska FF
Atlanta United,Atlanta United
Atlanta United FC,Atlanta United
Atlante,Atlante
Atletico Espeleno,Atletico Espeleno
Atletico Huracan,Huracan
Atletico Saguntino,Saguntino
Atromitos Athens,Atromitos
Atvidabergs FF,Atvidabergs
Aucas Quito,Aucas
Augsburg,Augsburg
Aurora Cochabamba (N),Aurora
Auxerre,Auxerre
Avispa Fukuoka,Avispa Fukuoka
Baerum,Baerum Sportsklubb
Balzan FC,Balzan
Bangkok Glass,Bangkok Glass
Banska Bystrica,Banska Bystrica
Barcelona B,Barcelona B
Barranquilla,Barranquilla
Barranquilla FC,Barranquilla
Barrow AFC,Barrow
Ben Guerdane,Ben Guerdane
Benevento,Benevento
Biolog Novokubansk,Biolog
Black Leopards (N),Black Leopards
Blekitni Stargard,Blekitni Stargard
Boa EC MG,Boa
Boavista,Boavista
Bologna,Bologna
Bordeaux (W),Bordeaux W
Boreham Wood,Boreham Wood
Botev Vratsa (N),Botev Vratsa
Botosani,FC Botosani
Bournemouth,Bournemouth
Braintree Town FC,Braintree
Brann,Brann
Breidablik,Breidablik
Brighton & Hove Albion,Brighton
Brondby IF (W),Brondby W
Bronshoj BK,Bronshoj
Brumunddal,Brumunddal
Bryne FK,Bryne
Budaorsi,Budaorsi SC
Budaorsi SC,Budaorsi SC
Budaorsi SC (N),Budaorsi SC
Buducnost Podgorica,Buducnost
Bunyodkor,Bunyodkor
Buriram United,Buriram
CA Alvarado,Alvarado
CA Atlas,Atlas
CA Claypole,Claypole
CA Douglas Haig,Douglas Haig
CA Fenix Montevideo,Fenix
CA Platense,Platense
CA San Telmo,San Telmo
CA Victoriano Arenas,Victoriano A.
CA Zacatepec,Zacatepec
CCD Los Caimanes,Los Caimanes
CD Acero,Acero
CD Algar,CD Algar
CD Arnedo,Arnedo
CD Audaz (N),Audaz
CD Belchite 97,Belchite 97
CD Bezana,Bezana
CD Binissalem,Binissalem
CD Buzanada,CD Buzanada
CD Canillas,Canillas
CD Castuera,Castuera
CD Cobreloa,Cobreloa
CD Cobresal,Cobresal
CD Guadalcacin,Guadalcacin
CD Huetor Tajar,Huetor Tajar
CD Laredo,Laredo
CD Luis Angel Firpo,Luis Angel Firpo
CD Marathon,Marathon
CD Marchamalo,Marchamalo
CD Mosconia,Mosconia
CD Olimpic Xativa,Olimpic Xativa
CD Pasaquina,Pasaquina
CD Platense,Platense
CD San Jose Oruro,San Jose
CD Torreperogil,CD Torreperogil
CD Tudelano,Tudelano
CD UAI Urquiza,UAI Urquiza
CD Valdelacalzada,Valdelacalzada
CD Willy Serrato,Willy Serrato
CF San Agustin,San Agustin
CF San Agustin Del Guadalix,San Agustin
CF Union Viera (N),Union Viera
CP Valdivia,Valdivia
CS Aerostar Bacau,Aerostar
CS Desamparados,Desamparados
CSD Liniers,Liniers
Ca Colegiales,Colegiales
Ca Estudiantes De Caseros,CA Estudiantes
Ca San Telmo,San Telmo
Cadiz B,Cadiz CF B
Cagliari,Cagliari
Canuelas Fc,Canuelas
Cardiff City,Cardiff
Cardiff Metropolitan,Cardiff Metropolitan
Carrarese (N),Carrarese
Cartagena B,Cartagena B
Cayon,Cayon
Cd Aguila,Aguila
Cd Uai Urquiza,UAI Urquiza
Celtiga FC,Celtiga
Central Ballester (N),Central Ballester
Central Cordoba De Rosario,Central Cordoba
Centro Atletico Fenix,Fenix
Chabab Rif Hoceima,Hoceima
Chambly,Chambly
Chapecoense,Chapecoense-SC
Cherno More Varna,Cherno More
Chiasso,Chiasso
Chievo,Chievo
Chindia Targoviste,Chindia Targoviste
Chions,Chions
Cittadella,Cittadella
Club Almagro,Almagro
Club Atletico Bembibre,Bembibre
Club Atletico de Pinto,Atletico Pinto
Club Aurora,Aurora
Club Bolivar,Bolivar
Club Comunicaciones De Buenos Aires,Comunicaciones
Club Destroyers,Destroyers
Club Gimnasia y Tiro,Gimnasia y Tiro
Club Jorge Wilstermann,Wilstermann
Club Sando,Sando
Club Siero,Club Siero
Club Tijuana,Club Tijuana
Colchester United,Colchester
Colorado Rapids,Colorado Rapids
Columbus Crew,Columbus Crew
Comerciantes Unidos,Comerciantes Unidos
Conil CF,Conil
Cordoba,Cordoba
Coria CF,Coria C.F.
Correcaminos UAT,Correcaminos
Cortulua,Cortulua
Cortulua (N),Cortulua
Cova da Piedade,CD Cova da Piedade
Crucero del Norte,Crucero del Norte
Cs Mioveni,Mioveni
Dalian Yifang FC,Dalian Yifang F.C.
Darmstadt 98 + VfL Bochum,Darmstadt
Delfin SC,Delfin
Deportes La Serena,La Serena
Deportes Tolima,Deportes Tolima
Deportivo Alaves,Alaves
Deportivo Coopsol,Deportivo Coopsol
Deportivo JBL Del Zulia,JBL Zulia
Deportivo Sanarate,Sanarate
Deportivo Sanarate FC,Sanarate
Deportivo Santani,Deportivo Santani
Destroyers,Destroyers
Dinamo Barnaul,Dynamo Barnaul
Dinamo Tbilisi,Dinamo Tbilisi
Diriangen,Diriangen
Djurgardens,Djurgarden
Dobrudzha Dobrich,Dobrudzha
Dordrecht,Dordrecht
Dorogi,Dorogi
Dreams SC,Dreams
Dukla Banska Bystrica,Banska Bystrica
Dunbeholden,Dunbeholden
Dynamo Kyiv U21,Dynamo Kiev U21
EMD Aceuchal,Aceuchal
Eintracht Braunschweig,Braunschweig
El Daklyeh,El Daklyeh
El Masry,El Masry
El Nacional (N),EL Nacional
El Zamalek,Zamalek
Elche CF,Elche
Elche CF Ilicitano,Elche CF Ilicitano
Elva,Elva
Enosis Neon Paralimni,Paralimni
Erzgebirge Aue,Aue
Estudiantes De Caracas (N),Estudiantes Caracas
Estudiantes Rio Cuarto,Estudiantes Rio Cuarto
Ethnikos Achnas,Achnas
Excelsior Barendrecht (W),Excelsior/Barendrecht W
Extremadura UD,Extremadura UD
Extremadura UD B,Extremadura UD B
FAR Rabat,FAR Rabat
FC Academica Clinceni,Academica Clinceni
FC Chita,Chita
FC Eindhoven (R),Jong FC Eindhoven
FC Irtysh Omsk,Omsk
FC Juniors OO,FC Juniors
FC KTP,KTP
FC Koln,FC Koln
FC Krasnodar 3,Krasnodar 3
FC Midland,Midland
FC Minsk,FC Minsk
FC Ripensia Timisoara (N),Ripensia Timisoara
FC Santboia,Santboia
FC Twente Enschede (W),Twente W
FC Vitosha Bistritsa,Bistritsa
FCI Levadia Tallinn,Levadia
FCI Levadia Tallinn U21,Levadia U21
FCM Traiskirchen,Traiskirchen
FE Grama,FE Grama
FK Banga Gargzdai,Banga
FK Borac Cacak,Borac
FK Jerv,Jerv
FK Krasnodar,Krasnodar
FK Kukesi,Kukesi
FK Lida,Lida
FK Novi Pazar,Novi Pazar
FK Urozhay,Urozhay
FK Veles Moscow,Veles Moscow
FK Zeleziarne Podbrezova,Podbrezova
Falkenbergs,Falkenbergs
Fenix Pilar,Fenix
Fenix Pilar (N),Fenix
Feralpisalo,FeralpiSalo
Feyenoord,Feyenoord
Fjolnir Reykjavik,Fjolnir
Flint Town United,Flint
Floriana FC,Floriana
Fram Reykjavik,Fram
Frem,BK Frem
Fresno,Fresno
Frigg Oslo,Frigg
Fuenlabrada,Fuenlabrada
Fylkir,Fylkir
Fylkir Reykjavik,Fylkir
GKS Belchatow U18,GKS Belchatow U18
GKS Katowice,GKS Katowice
Garbarnia Krakow,Garbarnia
Getafe CF,Getafe
Gibraltar Phoenix FC,Gibraltar Phoenix
Gimnasia Jujuy,Gimnasia Jujuy
Gimnastic Tarragona,Gimnastic
Gjellerasen,Gjellerasen
Gomel,FC Gomel
Gor Mahia,Gor Mahia
Gor Mahia (N),Gor Mahia
Goztepe AS,Goztepe
Greuther Furth,Greuther Furth
Guabira Montero (N),Guabira
Guadalupe FC,Guadalupe
Guadix CF,Guadix
Guangzhou Evergrande,Guangzhou Evergrande
Guarani Asuncion (N),Guarani
Guayaquil City FC,Guayaquil City
Guilsfield,Guilsfield
Guingamp,Guingamp
Gwardia Koszalin,Gwardia Koszalin
Gwarek Tarnowskie Gory,Gwarek Tarnowskie Gory
Gyirmot FC,Gyirmot
HJK Helsinki (W),HJK W
HSK Zrinjski Mostar,Zrinjski
Ha Noi,Ha Noi FC
Hai Phong,Hai Phong
Hallescher FC,Hallescher
Hammam-Lif,Hammam-Lif
Haras El Hodood,Haras El Hodood
Harbour View,Harbour View
Haro Deportivo,Haro Deportivo
Hebei China Fortune,Hebei
Hebei Elite,Hebei Elite
Hertha Berlin,Hertha Berlin
Hiroshima Sanfrecce,Hiroshima
Holstein Kiel,Holstein Kiel
Holyhead Hotspur,Holyhead
Houston Dash (W),Houston Dash W
Huercal Overa CF,Huercal-Overa
IFK Haninge,Haninge
IFK Lidingo FK,Lidingo IFK
IK Oddevold,Oddevold
INAC Kobe Leonessa (W),Inac Kobe Leonesa W
Imolese,Imolese
Ismaily,El Ismaily
Istanbul Basaksehir,Basaksehir
JBK Pietarsaari,JBK
JEF United Ichihara Chiba,Chiba
JK Tallinna Kalev U21,Tallinna Kalev U21
JS Kairouan,JS Kairouan
Jammerbugt,Jammerbugt
Jeddah Club,Jeddah
Jeddah Club (N),Jeddah
Jef United Ichihara Chiba (W),JEF United W
Jiangxi Liansheng,Jiangxi Liansheng
Jocoro FC,Jocoro
Jorge Wilstermann,Wilstermann
Junior Barranquilla (N),Junior
Jura Sud,Jura Sud
Juventude RS,Juventude
Juventus Managua,Juventus Managua
Juventus Managua (N),Juventus Managua
KA Akureyri,KA Akureyri
KAMAZ Naberezhnye Chelny,Kamaz
KFUM Oslo 2,KFUM-Kameratene Oslo 2
KKS Czarni Sosnowiec (W),Czarni Sosnowiec W
KS Flamurtari Vlore,Flamurtari
KS Sleza Wroclaw,Sleza Wroclaw
KS Teuta Durres,Teuta
KSK Heist,Heist
KTP,KTP
Kairouan,JS Kairouan
Kaisar Kyzylorda,Kaisar Kyzylorda
Kariobangi Sharks,Kariobangi Sharks
Kasimpasa,Kasimpasa
Kayserispor,Kayserispor
Keflavik,Keflavik
Keila,Keila JK
Kiffen,Kiffen
Kokand 1912,Kokand 1912
KoldingQ (W),KoldingQ W
Kolkheti Poti,Poti
Krakeroy,Krakeroy
Kristiansund BK,Kristiansund
Kristiansund BK II,Kristiansund 2
KuPS,KuPS
La Equidad,La Equidad
La Granja,La Granja
Lada Togliatti,Lada Togliatti
Langenegg,Langenegg
Lanus,Lanus
Las Palmas,Las Palmas
Lausanne Sports,Lausanne
Le Mans,Le Mans
Lecce,Lecce
